video_id,title,views,likes,comments,tags,published_at,category_id,description
v7f0jcfUuc4,"Mamata Loses TMC, Trump Wants Greenland, Ramdev’s Hookah & More | Sunday Show",965046,42115,2479,"['Sunday Show', 'Sarthak Goswami', 'India news', 'latest news India', 'weekly news', 'news recap', 'current affairs', 'India news 2026', 'Gurugram biker hit and run', 'Shivani Chauhan', 'Kalyan Singh Bainsla', 'Gurgaon biker case', 'DUSU election 2026', 'Raunak Khatri', 'UPI charges', 'Ashneer Grover', 'UPI news', 'TMC Mamata Banerjee', 'TMC crisis', 'US Russia', 'Greenland news', 'Baba Ramdev', 'Ayurvedic hookah', 'Tata Sons Tata Trusts', 'HYROX athlete', 'Bihar bike ferry', 'academic freedom India', 'Ganpati Visarjan']",2026-09-20T04:30:03Z,25,"Google Form: https://shorturl.at/tlRQ8 
Join our Team: https://sarthakgoswami.com/careers
Welcome back to The Sunday Show with Sarthak Goswami  India’s weekly news recap with news, satire, memes and a side of entertainment. 🔥

📰 THIS WEEK ON THE SUNDAY SHOW 

🙏 Ganpati Visarjan
 Bappa ki vidai and the internet’s reactions around it.

🏍️ Gurugram Biker Hit-and-Run
 The case that went viral gets new developments as the investigation moves forward. Fresh SIT reporting this week detailed the accused's movements before the crash.

🚙 Daman’s Thar-Fortuner Oath
 Thar and Fortuner owners were called together and asked to take a road-safety pledge against speeding, stunts and reckless driving.

🎓 DUSU Election Results
 ABVP, NSUI, independent candidates and the politics behind Delhi University’s student elections.

💸 UPI
 What the new MDR discussion means for merchants, customers and India’s cashless economy.

🌸 TMC–Mamata Power Struggle
 The fight over who gets to use the Trinamool Congress name and its iconic symbol after the Election Commission’s interim freeze.

🇺🇸🇷🇺 US-Russia Sanctions + Fed Hike + Greenland
 A quick breakdown of three major developments shaping the week’s international news.

🚬 Baba Ramdev’s Ayurvedic Hookah
 An unusual twist on the traditional hookah but make it Ayurvedic.

🏢 Tata Sons vs Tata Trusts
 The latest developments in one of India’s biggest corporate power struggles.

⚖️ Surendra Kohli D*es by Su*c*de
 The Nithari case convict, who was acquitted last year, di*d by su*cid* this week.

🏃 HYROX Athlete’s Race Incident
 An unusual incident during a Beijing HYROX race sparks backlash and rule changes from the organisation.

🇵🇰 Pakistan’s Austerity Measures
 What’s behind Pakistan’s latest push to cut spending.

🚲 Bihar’s ₹100 Bike Ferry
 One man, one bike and a very unusual way of crossing a river.

🎓 India’s Academic Freedom Ranking
 Why India has been classified as “severely restricted” in the latest academic-freedom reporting.

🩺 Man Discovers He Has a Uterus
 A rare medical case that left the internet stunned.

#SundayShow #SarthakGoswami #IndiaNews #LatestNews #NewsRecap #CurrentAffairs #Gurugram #DUSU #UPI #MamataBanerjee #TMC #BRICS #BabaRamdev #Tata #Pakistan #HYROX #GanpatiVisarjan #ViralNews #RaunaukKhatri #DonaldTrump #Ashneergrover

📌 Chapters:

00:00 Ganpati Visarjan
00:33 Gurugram Biker Case
02:05 DUSU Results
04:55 UPI Charges
11:03 TMC Power Struggle
13:09 Trump’s Greenland claim
19:11 Ramdev’s Hookah
22:03 Tata vs Tata Trusts
25:02 Surendra Kohli Case
25:39 HYROX Incident
27:43 Daman’s Thar Oath
29:55 Pakistan’s Austerity
32:30 Bihar’s ₹100 Ferry
33:49 India’s Academic Freedom
36:19 Man with Uterus


Become a Channel Member:
https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA/join

Liked this video? Two ways you can support us! 🔥
COMMENT/SHARE the Video📲- Make these stories reach maximum people by engaging with video. Let's do it!

‎Join Sarthak Sabha channel on WhatsApp: https://whatsapp.com/channel/0029Vae35iDKWEKhOQR4Si0j

Follow us on:

Twitter: https://twitter.com/sundaysarthak
Instagram: https://www.instagram.com/sundaysarthak
Facebook: https://www.facebook.com/sundaysarthak

*********************************************************************************
For Collaborations: connect@sarthakgoswami.com

Producer: Niranjan Mehta, Aniruddh Sarkar

Writers: Sarthak Goswami, Anunay, Mahesh Sharma, Abhinav Pandey, Lavanya

Editors: Amit Kumar Chakraborty, Arpan Biswas, Ritik Parida, Vishal Verma, Shubham Das, Sachin, Mayank Rawat.

Cinematographer: Prayas Dasgupta

Social Media: Shruti Singh, Anish Verma, Shristy Dalamia

Resources: https://shorturl.at/MiMZ4

See you, in the next Episode!

Hall of the Mountain King by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 license. https://creativecommons.org/licenses/by/4.0/"
qIg6hLxcLCM,Why Is Gen Z Losing Interest in Politics?,315224,16466,474,"['sarthak goswami', 'controversy', 'top news', 'latest', 'Gen Z', 'GenZ', 'Gen Z politics', 'GenZ politics', 'Gen Z apolitical', 'why Gen Z is apolitical', 'Gen Z and politics', 'youth politics', 'youth opinion', 'political apathy', 'Gen Z political views', 'Gen Z opinions', 'Gen Z trends', 'Gen Z India', 'Indian Gen Z', 'Indian youth', 'youth issues', 'politics in India', 'viral Gen Z', 'Gen Z viral', 'Gen Z generation', 'young voters', 'Gen Z news', 'current affairs', 'India news', 'Gen Z debate', 'Gen Z discussion']",2026-09-19T13:32:48Z,25,"Article Link: https://www.thehindu.com/opinion/op-ed/the-seemingly-apolitical-gen-z-youth/article71416852.ece/amp/

[GenZ, apolitical, viral, Youth, genz politics]

#GenZ #apolitical #youth #opinions #article 

Become a Channel Member:
https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA/join

Liked this video? Two ways you can support us! 🔥
COMMENT/SHARE the Video📲- Make these stories reach maximum people by engaging with video. Let's do it!

‎Join Sarthak Sabha channel on WhatsApp: https://whatsapp.com/channel/0029Vae35iDKWEKhOQR4Si0j

Follow us on:

Twitter: https://twitter.com/sundaysarthak
Instagram: https://www.instagram.com/sundaysarthak
Facebook: https://www.facebook.com/sundaysarthak

*********************************************************************************
For Collaborations: connect@sarthakgoswami.com

Producer: Sagar Gupta, Niranjan Mehta, Aniruddh Sarkar

Writers: Sarthak Goswami, Anunay, Mahesh Sharma, Abhinav Pandey, Lavanya

Editors: Amit Kumar Chakraborty, Arpan Biswas, Ritik Parida, Vishal Verma, Shubham Das, Sachin, Mayank Rawat.

Cinematographer: Prayas Dasgupta

Social Media: Shruti Singh, Anish Verma, Shristy Dalamia

Resources:

See you, in the next Episode!"
pb4iKSdplw4,Nadi Ka Asli Hero 😎,608755,53982,962,"['Bittu river cleaning', 'Nagar Nigam negligence', 'viral boy cleans river', 'river pollution India', 'civic responsibility India', 'river cleaning viral video', 'Indian civic issues', 'dirty river cleanup', 'local government failure', 'youth cleans river', 'environmental awareness India', 'municipal corporation negligence', 'river pollution awareness', 'viral social issue India', 'cleanliness campaign India', 'local body negligence', 'civic sense India', 'save rivers India', 'pollution news India']",2026-09-18T12:30:27Z,25,"#BittuTabahi #NagarNigam #CleanRiver #CivicSense #IndiaNews

Become a Channel Member:
https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA/join

Liked this video? Two ways you can support us! 🔥
COMMENT/SHARE the Video📲- Make these stories reach maximum people by engaging with video. Let's do it!

‎Join Sarthak Sabha channel on WhatsApp: https://whatsapp.com/channel/0029Vae35iDKWEKhOQR4Si0j

Follow us on:

Twitter: https://twitter.com/sundaysarthak
Instagram: https://www.instagram.com/sundaysarthak
Facebook: https://www.facebook.com/sundaysarthak

*********************************************************************************
For Collaborations: connect@sarthakgoswami.com

Producer: Sagar Gupta, Niranjan Mehta, Aniruddh Sarkar

Writers: Sarthak Goswami, Anunay, Mahesh Sharma, Abhinav Pandey, Lavanya

Editors: Amit Kumar Chakraborty, Arpan Biswas, Ritik Parida, Vishal Verma, Shubham Das, Sachin, Mayank Rawat.

Cinematographer: Prayas Dasgupta

Social Media: Shruti Singh, Anish Verma, Shristy Dalamia

Resources:

See you, in the next Episode!"
TF8prxhZT3U,"Modi’s Birthday, Sydney Sweeney Campaign, UPI Charges & Gurgaon Biker Case | Midweek",1291506,45620,2225,"['sarthak goswami', 'sunday show', 'latest', 'viral', 'Narendra Modi birthday', 'UPI charges 2026', 'UPI MDR 0.4%', 'NPCI UPI charges', 'Gurugram biker hit and run', 'Sia biker case', 'Kalyan Bainsla', 'Uniform Civil Code', 'UCC India', 'BRICS 2026', 'BRICS Summit Delhi', 'BRICS veg menu controversy', 'AI slowdown', 'Dario Amodei', 'Sydney Sweeney ad controversy', 'Disha Salian case', 'Bihar floods 2026', 'Moti Dungri mehndi', 'Jaipur marriage mehndi', 'Prajwal Revanna jail', 'Prajwal Revanna phone', 'current affairs India']",2026-09-17T16:32:54Z,25,"👉 Register for the 8 Hour LIVE GPT6 Astra training for FREE: https://links.outskill.com/mm-c107-1
👉100% Discount for all who register
👉Become the top 1% professional by learning AI today

📺 Welcome back to MIDWEEK with Sarthak Goswami
💗 Week ke beech ka reality check,
😋 jahan headlines milti hain logic, sarcasm aur thoda sa chaos ke saath.
🎤 News ki baat, Entertainment ke saath.

This Week on the Internet:

🎂 PM Modi Turns 76
 Hawan, diya celebrations and social media wishes mark Narendra Modi’s 76th birthday.

💸 UPI Payments Get New Charges
 Certain merchant payments above ₹2,000 are set to attract MDR, while most smaller UPI transactions remain unaffected.

🏍️ Gurugram Biker Hit-and-Run Row
 A viral biker incident involving creator Sia leads to police action and the arrest of accused Kalyan Bainsla.

⚖️ UCC Across NDA States?
 Amit Shah says Uniform Civil Code will be introduced across NDA-ruled states before the 2029 Lok Sabha elections.

🌍 BRICS 2026 & The Veg Menu Debate
 Major diplomacy at the New Delhi summit gets overshadowed online by controversy around its all-vegetarian gala dinner.

🤖 AI Leaders Want To Slow Down
 Anthropic CEO Dario Amodei calls for slowing frontier AI development so safety systems can catch up.

🎾 Sydney Sweeney Ad Sparks Backlash
 A sports ad featuring Sydney Sweeney triggers a fresh debate around objectification and the male gaze in advertising.

🔍 Disha Salian Case Returns
 The case returns to headlines after renewed investigation and fresh legal developments.

🌊 Bihar Flood Crisis Continues
 Nearly 50 lakh people across multiple districts are affected as the Ganga and other rivers remain above danger levels.

💍 Jaipur’s Viral ‘Marriage Mehndi’
 Viral reels send singles rushing to Moti Dungri Temple, where 3,500 kg of mehndi gets distributed within hours.

🚨 Prajwal Revanna Jail Controversy
 A phone and pen drive seized from the jailed former MP reportedly contained over 140 explicit videos.

📌 Chapters:

00:00 Narendra Modi Birthday
03:03 AI Slowdown Debate
05:52 Sponsor
08:08 UPI MDR Charges
12:52 Gurugram Biker Case
18:32 BRICS 2026 Summit
23:42 Sydney Sweeney Controversy
25:24 Prajwal Revanna Jail Case
26:20 Uniform Civil Code
29:51 Disha Salian Case
31:06 Bihar Flood Crisis
32:57 Jaipur Marriage Mehndi

News ki baat, Entertainment ke saath.
👍 Like | 🔁 Share | 🔔 Subscribe
💬 Comment below: Iss week ki sabse unbelievable story kaunsi lagi?

#MIDWEEK #SarthakGoswami #NarendraModi #ModiBirthday #UPI #UPICharges #NPCI #Gurugram #SiaBiker #UniformCivilCode #UCC #AmitShah #BRICS2026 #BRICS #ArtificialIntelligence #AISafety #DarioAmodei #SydneySweeney #DishaSalian #BiharFloods #Jaipur #MotiDungri #PrajwalRevanna #IndiaNews #WeeklyNews #IndianNews

Become a Channel Member:
https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA/join

Liked this video? Two ways you can support us! 🔥
COMMENT/SHARE the Video📲- Make these stories reach maximum people by engaging with video. Let's do it!

‎Join Sarthak Sabha channel on WhatsApp: https://whatsapp.com/channel/0029Vae35iDKWEKhOQR4Si0j

Follow us on:

Twitter: https://twitter.com/sundaysarthak
Instagram: https://www.instagram.com/sundaysarthak
Facebook: https://www.facebook.com/sundaysarthak

*********************************************************************************
For Collaborations: connect@sarthakgoswami.com

Producer: Sagar Gupta, Niranjan Mehta, Aniruddh Sarkar

Writers: Sarthak Goswami, Anunay, Mahesh Sharma, Abhinav Pandey, Lavanya

Editors: Amit Kumar Chakraborty, Arpan Biswas, Ritik Parida, Vishal Verma, Shubham Das, Sachin, Mayank Rawat.

Cinematographer: Prayas Dasgupta

Social Media: Shruti Singh and Anish Verma

Resources: https://shorturl.at/iEr4M

See you, in the next Episode!"
qmbqwAMc6dY,Gen Z Done With Dating Apps? 👀,275221,13460,354,"['[Gen Z dating', 'dating apps', 'Gen Z relationships', 'dating app fatigue', 'modern dating', 'Gen Z dating trends', 'dating app burnout', 'online dating', 'dating culture', 'modern relationships', 'relationship trends', 'dating in 2026', 'Gen Z love life', 'singles and dating', 'dating app users', 'online dating fatigue', 'dating app alternatives', 'real life dating', 'offline dating', 'relationship culture', 'modern love', 'Gen Z lifestyle', 'dating trends]']",2026-09-17T10:18:13Z,25,"Read the full article in the Description below and in the pinned comment!


Article Link - https://timesofindia.indiatimes.com/relationships/gen-z-is-quietly-leaving-dating-apps-but-they-are-not-giving-up-on-finding-someone/articleshow/131715528.cms

#GenZ #DatingApps #ModernDating #Relationships #DatingCulture


Become a Channel Member:
https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA/join

Liked this video? Two ways you can support us! 🔥
COMMENT/SHARE the Video📲- Make these stories reach maximum people by engaging with video. Let's do it!

‎Join Sarthak Sabha channel on WhatsApp: https://whatsapp.com/channel/0029Vae35iDKWEKhOQR4Si0j

Follow us on:

Twitter: https://twitter.com/sundaysarthak
Instagram: https://www.instagram.com/sundaysarthak
Facebook: https://www.facebook.com/sundaysarthak

*********************************************************************************
For Collaborations: connect@sarthakgoswami.com

Producer: Sagar Gupta, Niranjan Mehta, Aniruddh Sarkar

Writers: Sarthak Goswami, Anunay, Mahesh Sharma, Abhinav Pandey, Lavanya

Editors: Amit Kumar Chakraborty, Arpan Biswas, Ritik Parida, Vishal Verma, Shubham Das, Sachin, Mayank Rawat.

Cinematographer: Prayas Dasgupta

Social Media: Shruti Singh and Anish Verma

Resources:

See you, in the next Episode!"
ASipjoR5iQ0,Gen Z’s Addiction to EMIs,964678,47649,1006,"['[Debt', 'debt trap', 'Gen Z debt', 'Gen Z financial crisis', 'Gen Z money problems', 'personal debt', 'rising debt', 'youth debt', 'student debt', 'credit card debt', 'loan crisis', 'financial stress', 'debt crisis', 'debt economy', 'consumer debt', 'young adults debt', 'financial struggle', 'money problems', 'personal finance', 'financial literacy', 'debt management', 'borrowing money', 'loan burden', 'rising expenses', 'cost of living', 'Gen Z finances', 'viral news', 'latest news', 'trending news', 'financial trends]']",2026-09-15T12:30:35Z,25,"Check the full article in Description below and on the pinned comment!

Article Link - ://economictimes.indiatimes.com/wealth/borrow/rs-30000-salary-rs-40-lakh-debt-why-gen-z-is-slipping-into-a-dangerous-borrowing-trap-plus-7-red-flags-to-watch/articleshow/128635417.cms?from=mdr

#genz #debttrap #viral #opinions #debt

Become a Channel Member:
https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA/join

Liked this video? Two ways you can support us! 🔥
COMMENT/SHARE the Video📲- Make these stories reach maximum people by engaging with video. Let's do it!

‎Join Sarthak Sabha channel on WhatsApp: https://whatsapp.com/channel/0029Vae35iDKWEKhOQR4Si0j

Follow us on:

Twitter: https://twitter.com/sundaysarthak
Instagram: https://www.instagram.com/sundaysarthak
Facebook: https://www.facebook.com/sundaysarthak

*********************************************************************************
For Collaborations: connect@sarthakgoswami.com

Producer: Sagar Gupta, Niranjan Mehta, Aniruddh Sarkar

Writers: Sarthak Goswami, Anunay, Mahesh Sharma, Abhinav Pandey, Lavanya

Editors: Amit Kumar Chakraborty, Arpan Biswas, Ritik Parida, Vishal Verma, Shubham Das, Sachin, Mayank Rawat.

Cinematographer: Prayas Dasgupta

Social Media: Shruti Singh and Anish Verma

Resources:

See you, in the next Episode!"
4qmPX-zGjIk,Reality of Factory Worker 👀,234379,10871,340,"['sarthak goswami', 'india news', 'sunday show', 'controversy', 'breaking news', 'top news', 'latest', 'satire', 'viral']",2026-09-14T13:14:50Z,25,"Full Article Here: https://www.hindustantimes.com/india-news/how-much-does-a-factory-worker-earn-in-india-101776222832763-amp.html

[Factory workers in India, workers condition, article, basic income]

#factoryworker #workers #article #workingconditions"
duUmzBviKIY,Delhi PG Collapsed Reality 😱,291484,16062,213,"['sarthak goswami', 'india news', 'sunday show', 'controversy', 'breaking news', 'top news', 'latest', 'satire', 'viral', 'Satya Niketan PG collapsed', 'Delhi PG collapse', 'Delhi building collapse', 'PG building collapse', 'Satya Niketan news', 'Delhi viral news', 'PG collapse reality', 'building collapse', 'Delhi corruption', 'building safety', 'illegal construction', 'PG safety', 'Sunday Show', 'viral news', 'trending news', 'latest Delhi news', 'ground reality']",2026-09-13T09:44:22Z,25,"[Satya Niketan Pg collapsed, viral, trending, full reality, Delhi Building collapse, corruption, Sunday show]

#satyaniketan #viralnews #pgcollapsed #trendingnews

Become a Channel Member:
https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA/join

Liked this video? Two ways you can support us! 🔥
COMMENT/SHARE the Video📲- Make these stories reach maximum people by engaging with video. Let's do it!

‎Join Sarthak Sabha channel on WhatsApp: https://whatsapp.com/channel/0029Vae35iDKWEKhOQR4Si0j

Follow us on:

Twitter: https://twitter.com/sundaysarthak
Instagram: https://www.instagram.com/sundaysarthak
Facebook: https://www.facebook.com/sundaysarthak

*********************************************************************************
For Collaborations: connect@sarthakgoswami.com

Producer: Sagar Gupta, Niranjan Mehta, Aniruddh Sarkar

Writers: Sarthak Goswami, Anunay, Mahesh Sharma, Abhinav Pandey, Lavanya

Editors: Amit Kumar Chakraborty, Arpan Biswas, Ritik Parida, Vishal Verma, Shubham Das, Sachin, Mayank Rawat.

Cinematographer: Prayas Dasgupta

Social Media: Shruti Singh and Anish Verma

Resources:

See you, in the next Episode!"
8em-CxHkd9w,"BRICS Summit, Delhi PG Collapse, iPhone 18 Launch, Trump's Freebies & More😳| Sunday Show",1371703,45028,3377,"['sarthak goswami', 'sunday show', 'the sunday show', 'sarthak goswami sunday show', 'satya niketan collapse', 'PG Collapsed', 'delhi building collapse', 'blinkit ambulance', 'brics summit 2026', 'raghav chadha sir', 'ram rahim front page ad', 'grand mufti row', 'bengal fish durga puja', 'eiffel tower baps', 'trump 5000 dollars midterms', 'germany', 'old monk not rum fssai', 'homeland security anti india', 'chongtham vikram singh', 'foldable iphone', 'iphone duo', 'iphone 18', 'gpt-6 astra', 'openai researcher resign']",2026-09-13T04:30:28Z,25,"Join our Team: https://sarthakgoswami.com/careers

Welcome back to The Sunday Show with Sarthak Goswami
News with a side of entertainment 🔥

🚨 THIS WEEK on the internet

🏚️ Delhi Satya Niketan PG Collapse: 7 De*d
A 5-storey PG near DU collapsed with students inside; a Blinkit ambulance reached before the NDRF.

🌐 BRICS Summit 2026
 India's role at the summit and what actually came out of it.

🎖️ 'Modi the Freedom Fighter' Row
 The claim that reignited a familiar history debate.

🗳️ Raghav Chadha's Viral Clip + SIR Deletion
 His name marked ""shifted"" in Punjab's rolls, then a self-deprecating clip goes viral. 

💰 The 'Gold Digger Boyfriend' Story
 The viral relationship saga the internet couldn't stop dissecting.

📰 Ram Rahim Gets a Full Front-Page Ad
 The Hindu and Dainik Bhaskar ran a full-page ""Facts vs Fiction"" ad for Ram Rahim, each with a disclaimer distancing themselves.

🧕 Mufti Sahab: ""Women Should Stay Home Like Gold in a Box""
 Kerala's Grand Mufti Sheikh Abubakr Ahmad said women belong safely at home, drawing nationwide criticism.

🐟 Bengal Pushes Back on a Non-Veg Durga Puja Appeal
 Dhirendra Shastri's call to avoid non-veg during Durga Puja triggered a Bengali backlash. Don't come between Bengal and its fish.

🗼 BAPS Eiffel Tower Display Sparks a Protest
 A BAPS temple display near the Eiffel Tower drew protests from a section of the diaspora.

💵 Trump Promises $5,000 to Every American Adult
 ""Ladla American Yojana"" — freebies before the midterms, US edition. 

🎥 Dainik Bhaskar Sting: CDO Offices Take 5-7% Commission
Following the MLA exposé, undercover reporters caught officials in Maharajganj and Azamgarh allegedly taking a cut on road and drainage funds.

🇩🇪 Germany's Far-Right Surge Draws Berlin Protests
 An AfD victory in Saxony-Anhalt brings thousands onto the streets.

🥃 Old Monk Is Not Rum?!
 FSSAI tells the Bombay HC that Old Monk can't legally be called rum  it's neutral spirit + rum flavour. 

🛂 US Homeland Security's Anti-India Post + Canada Landlord Video
 An official DHS anti-immigrant post, plus a viral Canada video feeding the anti-Indian sentiment abroad. 

🗣️ 'Chugli Aunty' Goes Viral
 The internet's newest character of the week.

🕯️ Manipuri Musician Chongtham Vikram Singh Beaten to Death in Delhi
The 54-year-old guitarist confronted a noisy dhaba crowd and was followed home and killed. 

📱 Apple Launches Its First Foldable iPhone duo and iPhone 18

🤖 GPT-6 'Astra' Can Use Your Computer + OpenAI Researcher Resigns
 The new agent browses and completes work on its own, as a safety researcher quits with a warning. 

⭐ Recommendation of the Week
Sarthak's pick — stick around for it.

👇 COMMENT BELOW
 Most unbelievable story this week — a Blinkit ambulance beating the NDRF, ""Old Monk isn't rum,"" or an AI that resigns its own researcher? 🪳
 Tell us in the comments!
🔔 SUBSCRIBE for The Sunday Show every week. India's weekly news recap with comedy, satire and zero filter. News ki baat, entertainment ke saath.

📌 Chapters:

00:00 Satya Niketan PG Collapse
11:46 BRICS Summit 2026
14:16 'Modi the Freedom Fighter'
15:51 Raghav Chadha Statement
16:50 Gold Digger Boyfriend Story
18:15 Ram Rahim Ad
21:50 Grand Mufti
24:07 Durga Puja controversy
26:31 BAPS Eiffel Tower
28:10 Trump's $5,000 
29:44 Dainik Bhaskar Sting
32:32 iPhone Launch
34:51 Germany's AFD Party
37:32 Old Monk controversy
39:09 Homeland Security & Canada
40:55 Chugli Aunty
43:29 Manipuri Singer
46:36 GPT-6 Astra 


#SundayShow #SarthakGoswami #IndiaNews #WeeklyNews #SatyaNiketan #DelhiBuildingCollapse #BRICS #Modi #RaghavChadha #SIR #RamRahim #GrandMufti #EiffelTower #BAPS #Trump #Germany #AfD #OldMonk #FSSAI #HomelandSecurity #Canada #ChongthamVikramSingh #Manipur #FoldableiPhone #Apple #GPT6 #OpenAI #CJISuryaKant #CJP #PoliticalSatire #ComedyNews #ViralNews #IndianPolitics #NewsRecap


Become a Channel Member:
https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA/join

Liked this video? Two ways you can support us! 🔥
COMMENT/SHARE the Video📲- Make these stories reach maximum people by engaging with video. Let's do it!

‎Join Sarthak Sabha channel on WhatsApp: https://whatsapp.com/channel/0029Vae35iDKWEKhOQR4Si0j

Follow us on:

Twitter: https://twitter.com/sundaysarthak
Instagram: https://www.instagram.com/sundaysarthak
Facebook: https://www.facebook.com/sundaysarthak

************************************************************************************************
For Collaborations: connect@sarthakgoswami.com

Producer: Sagar Gupta, Niranjan Mehta, Aniruddh Sarkar

Writers: Sarthak Goswami, Anunay, Mahesh Sharma, Abhinav Pandey, Lavanya

Editors: Amit Kumar Chakraborty, Arpan Biswas, Ritik Parida, Vishal Verma, Shubham Das, Sachin, Mayank Rawat.

Cinematographer: Prayas Dasgupta & Aditya Arunachalam

Correspondent Reporter: Alka Verma

Social Media: Shruti Singh and Anish Verma

Resources: https://shorturl.at/7s4OC

See you, in the next Episode!"
iC3Lm_omNEc,Isn't this Shameful?👀,941177,56009,1181,"['[The Hindu', 'Ram Rahim', 'Ram Rahim advertisement', 'viral advertisement', 'advertisement controversy', 'Ram Rahim viral', 'The Hindu controversy', 'media controversy', 'hypocrisy', 'double standards', 'shameful advertisement', 'controversial advertisement', 'news media', 'Indian media', 'media hypocrisy', 'viral news', 'trending news', 'social media controversy', 'political controversy', 'public reaction', 'news controversy', 'advertisement controversy India]']",2026-09-12T13:42:35Z,25,"#newspaper #RamRahim #viral #advertisement #hypocrisy


Become a Channel Member:
https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA/join

Liked this video? Two ways you can support us! 🔥
COMMENT/SHARE the Video📲- Make these stories reach maximum people by engaging with video. Let's do it!

‎Join Sarthak Sabha channel on WhatsApp: https://whatsapp.com/channel/0029Vae35iDKWEKhOQR4Si0j

Follow us on:

Twitter: https://twitter.com/sundaysarthak
Instagram: https://www.instagram.com/sundaysarthak
Facebook: https://www.facebook.com/sundaysarthak

*********************************************************************************
For Collaborations: connect@sarthakgoswami.com

Producer: Sagar Gupta, Niranjan Mehta, Aniruddh Sarkar

Writers: Sarthak Goswami, Anunay, Mahesh Sharma, Abhinav Pandey, Lavanya

Editors: Amit Kumar Chakraborty, Arpan Biswas, Ritik Parida, Vishal Verma, Shubham Das, Sachin, Mayank Rawat.

Cinematographer: Prayas Dasgupta

Social Media: Shruti Singh and Anish Verma

Resources:

See you, in the next Episode!"
